cell_id,source,n_rpc_en,n_rpc_sl,partial_share_rpc_en,partial_share_rpc_sl,z,obs_strict_minus_broad,fold,pred
W_S2_c1.5,exp9,41.0,41.0,0.5121951219512195,0.07317073170731707,1.2258219533355916,0.43902439024390244,exp9,0.0002783345527244685
W_S4_c0.25,exp9,41.0,41.0,0.0975609756097561,0.0,-1.7790713045465942,0.0975609756097561,exp9,0.03619271083889686
W_S4_c0.5,exp9,41.0,41.0,0.1951219512195122,0.0,-0.9835831250114956,0.1951219512195122,exp9,0.027742754840750505
W_S4_c0.943_G1,exp9,41.0,41.0,0.43902439024390244,0.0,-0.04772396534060442,0.43902439024390244,exp9,0.013903530071807113
W_S4_c1,exp9,41.0,41.0,0.4146341463414634,0.0,0.04429227430397099,0.4146341463414634,exp9,0.012536234416613112
W_S4_c1.5,exp9,41.0,41.0,0.4634146341463415,0.024390243902439025,0.6901333001346363,0.43902439024390244,exp9,0.004237545131733023
gemma:conf_W1,exp12,60.0,60.0,0.26666666666666666,0.11666666666666667,1.5304958290228943,0.15,exp12,0.0015010963688651957
gemma:conf_W2,exp12,60.0,60.0,0.08333333333333333,0.05,1.5077118384849637,0.033333333333333326,exp12,0.0009040541831464854
gemma:conf_W3,exp12,60.0,60.0,0.2833333333333333,0.05,2.435031274250724,0.23333333333333334,exp12,0.041615159239053984
noop,exp9,40.0,41.0,0.125,0.0,-2.4209931323936007,0.125,exp9,0.03942531956566264
qwen3:conf_W1,exp12,56.0,60.0,0.08928571428571429,0.25,2.0475066373140756,-0.1607142857142857,exp12,0.023363675445392057
qwen3:conf_W2,exp12,60.0,59.0,0.13333333333333333,0.3050847457627119,2.047206163407066,-0.17175141242937855,exp12,0.023348637291433105
qwen3:conf_W3,exp12,59.0,60.0,0.2711864406779661,0.36666666666666664,2.4460129882499135,-0.09548022598870054,exp12,0.04206644753245417
